A,B,C,D,E,F,G,H,I,J,K
9, -56965.15625, -2850.987060546875, -2188.414306640625, 716.2168579101562, -18747.03125, -2464.21240234375, -494.3981628417969, -55204.15234375, , 1714826857916.318
10, -56964.890625, -3205.373779296875, -2521.0751953125, 690.2664794921875, -18748.23828125, -2276.457763671875, -532.5526123046875, -55226.953125, , 1714826857920.38
11, -56997.4765625, -2833.955078125, -2212.420166015625, 685.8408203125, -18778.48046875, -3391.586181640625, -746.5928955078125, -55265.9765625, , 1714826857923.982
12, -57008.2734375, -2372.48095703125, -1807.5406494140625, 776.5665893554688, -18786.125, -3830.73095703125, -751.8231811523438, -55250.6875, , 1714826857928.058
13, -56981.65234375, -2644.792236328125, -2048.134765625, 820.621826171875, -18754.7421875, -2854.60791015625, -550.5904541015625, -55204.5546875, , 1714826857931.702
14, -56971.05859375, -3157.5634765625, -2498.075439453125, 756.8523559570312, -18744.08203125, -2246.8193359375, -508.2115478515625, -55211.328125, , 1714826857935.803
15, -56983.59765625, -2977.989501953125, -2359.807373046875, 765.30126953125, -18760.576171875, -3160.04443359375, -720.374267578125, -55251.96484375, , 1714826857939.496
16, -57001.09765625, -2411.84228515625, -1860.178955078125, 848.9862060546875, -18772.712890625, -3971.14453125, -801.5111083984375, -55256.12109375, , 1714826857943.563
17, -56986.14453125, -2478.562255859375, -1909.3304443359375, 890.7615966796875, -18749.177734375, -3245.60693359375, -616.3716430664062, -55212, , 1714826857947.649
18, -56965.08984375, -3064.759033203125, -2409.294189453125, 806.4061279296875, -18741.466796875, -2311.5947265625, -505.99871826171875, -55194.23046875, , 1714826857951.313
19, -56975.6171875, -3121.68896484375, -2460.3232421875, 752.963134765625, -18762.455078125, -2871.774169921875, -679.001220703125, -55240.16015625, , 1714826857955.406
20, -56998.8203125, -2556.614501953125, -1977.123291015625, 822.8346557617188, -18777.474609375, -3959.07470703125, -849.65673828125, -55267.25390625, , 1714826857959.11
21, -56990.83984375, -2440.9443359375, -1864.13525390625, 871.5838012695312, -18759.638671875, -3623.5302734375, -734.8582153320312, -55224.73828125, , 1714826857963.199
22, -56971.86328125, -2995.15576171875, -2311.661865234375, 778.444091796875, -18740.86328125, -2490.498046875, -545.6954345703125, -55193.2890625, , 1714826857966.873
23, -56985.2734375, -3264.382568359375, -2530.932373046875, 694.3568725585938, -18751.92578125, -2606.6376953125, -639.3045043945312, -55237.8828125, , 1714826857971.016
24, -57015.515625, -2815.917236328125, -2130.81396484375, 697.1061401367188, -18777.408203125, -3741.34619140625, -842.414794921875, -55286.765625, , 1714826857974.645
25, -57011.6953125, -2496.60009765625, -1853.54052734375, 762.6190795898438, -18762.521484375, -3851.450927734375, -794.0009155273438, -55265.57421875, , 1714826857978.701
26, -56991.30859375, -2929.17333984375, -2229.183837890625, 734.52294921875, -18738.8515625, -2778.902587890625, -605.642822265625, -55234.9296875, , 1714826857982.8
27, -56986.34765625, -3391.720458984375, -2628.6318359375, 638.9021606445312, -18742.47265625, -2485.468994140625, -640.5785522460938, -55254.04296875, , 1714826857986.44
28, -57013.5703125, -3084.137939453125, -2362.69091796875, 642.2549438476562, -18773.919921875, -3537.029052734375, -856.7645874023438, -55294.0078125, , 1714826857990.633
29, -57027.18359375, -2627.290771484375, -1934.140869140625, 687.9866333007812, -18791.623046875, -4052.281494140625, -883.9219970703125, -55289.515625, , 1714826857994.266
30, -57016.58984375, -2907.246337890625, -2141.6767578125, 670.55224609375, -18774.0546875, -3122.560791015625, -684.700927734375, -55255.31640625, , 1714826857998.362
31, -57004.51953125, -3475.4052734375, -2617.903076171875, 618.38330078125, -18756.822265625, -2423.84521484375, -618.9867553710938, -55250.01953125, , 1714826858002.07
0, -57019.47265625, -3372.8779296875, -2509.40771484375, 617.1092529296875, -18776.736328125, -3204.099853515625, -799.0300903320312, -55288.2421875, , 1714826858005.948
1, -57035.296875, -2818.06298828125, -2001.7325439453125, 692.9486694335938, -18792.2265625, -4075.951904296875, -892.1027221679688, -55299.171875, , 1714826858010.11
2, -57023.5625, -2874.053955078125, -2025.403076171875, 728.4879760742188, -18774.5234375, -3457.970947265625, -725.2022705078125, -55267.65625, , 1714826858013.757
3, -56993.58984375, -3449.589111328125, -2526.9091796875, 733.5841674804688, -18739.990234375, -2498.678955078125, -600.5465698242188, -55238.1484375, , 1714826858017.89
4, -57000.5625, -3582.1572265625, -2606.101318359375, 652.9837646484375, -18752.931640625, -2914.0859375, -739.6862182617188, -55266.1796875, , 1714826858021.543
5, -57032.94921875, -3055.30419921875, -2114.18408203125, 672.2957153320312, -18782.302734375, -3988.84716796875, -900.6187133789062, -55298.3671875, , 1714826858025.649
6, -57024.30078125, -2894.3046875, -1949.6307373046875, 738.61328125, -18771.373046875, -3765.486083984375, -793.3303833007812, -55267.3203125, , 1714826858029.442
7, -56995.46484375, -3431.886474609375, -2395.68212890625, 717.2227172851562, -18743.27734375, -2660.75146484375, -605.7769165039062, -55235.40234375, , 1714826858033.69
8, -56990.83984375, -3755.830322265625, -2665.04296875, 649.6310424804688, -18745.82421875, -2667.92626953125, -677.3248291015625, -55249.8828125, , 1714826858037.477
9, -57015.984375, -3322.050048828125, -2276.658935546875, 657.6776733398438, -18769.025390625, -3776.617431640625, -873.3272705078125, -55281.6015625, , 1714826858041.118
10, -57023.29296875, -2952.508544921875, -1950.7706298828125, 747.1293334960938, -18777.2734375, -4005.61083984375, -851.1990356445312, -55265.77734375, , 1714826858045.293
11, -57004.1171875, -3349.4755859375, -2276.32373046875, 730.0972900390625, -18758.900390625, -2944.529052734375, -648.6922607421875, -55229.96875, , 1714826858049.048
12, -57003.6484375, -3834.6201171875, -2670.54150390625, 631.1908569335938, -18755.94921875, -2487.81591796875, -623.8818359375, -55245.32421875, , 1714826858052.893
13, -57032.61328125, -3554.329345703125, -2426.125, 641.9867553710938, -18781.69921875, -3458.775634765625, -814.3186645507812, -55290.3203125, , 1714826858057.047
14, -57045.421875, -3011.718505859375, -1966.126220703125, 722.92236328125, -18791.2890625, -4097.00732421875, -854.8870849609375, -55285.22265625, , 1714826858060.686
15, -57023.359375, -3180.496337890625, -2105.668212890625, 721.4471435546875, -18766.208984375, -3233.469970703125, -643.0596313476562, -55236.875, , 1714826858064.763
16, -57004.25, -3737.926513671875, -2593.025634765625, 640.4444580078125, -18743.544921875, -2441.61474609375, -555.9548950195312, -55219.10546875, , 1714826858068.405
17, -57022.22265625, -3656.856689453125, -2535.827392578125, 612.7506713867188, -18763.52734375, -3141.67138671875, -729.3596801757812, -55261.21875, , 1714826858072.538
18, -57037.77734375, -3045.782470703125, -2042.7703857421875, 725.8057861328125, -18768.087890625, -4126.4443359375, -868.499267578125, -55279.72265625, , 1714826858076.601
19, -57028.859375, -3009.8408203125, -2023.1231689453125, 761.8143920898438, -18752.396484375, -3617.294189453125, -728.8903198242188, -55246.734375, , 1714826858080.251
20, -57010.8203125, -3580.279541015625, -2517.856689453125, 684.0303344726562, -18739.052734375, -2581.76025390625, -579.4241943359375, -55230.90625, , 1714826858084.301
21, -57015.3828125, -3719.553466796875, -2649.0166015625, 631.4590454101562, -18749.04296875, -2901.41259765625, -699.184814453125, -55267.38671875, , 1714826858087.919
22, -57035.765625, -3148.17578125, -2162.39697265625, 682.5551147460938, -18764.130859375, -3998.771240234375, -861.25732421875, -55293.46875, , 1714826858092.055
23, -57033.21875, -2890.68359375, -1948.28955078125, 743.2401123046875, -18756.552734375, -3886.7890625, -771.6044921875, -55273.35546875, , 1714826858096.12
24, -57002.57421875, -3351.6884765625, -2372.548095703125, 727.079833984375, -18731.609375, -2796.806396484375, -588.8789672851562, -55237.6796875, , 1714826858099.831
25, -57002.5078125, -3681.39892578125, -2683.21484375, 664.5843505859375, -18735.029296875, -2698.369384765625, -645.2724609375, -55253.640625, , 1714826858103.898
26, -57031.9453125, -3255.665283203125, -2329.431396484375, 646.0100708007812, -18776.06640625, -3788.284912109375, -847.0416259765625, -55299.37109375, , 1714826858107.504
27, -57037.375, -2804.24951171875, -1950.70361328125, 693.2839965820312, -18782.97265625, -4113.234375, -831.417724609375, -55286.296875, , 1714826858111.537
28, -57013.4375, -3093.52587890625, -2206.18408203125, 657.4765014648438, -18759.1015625, -3073.878662109375, -613.8905639648438, -55245.52734375, , 1714826858115.612
29, -56997.87890625, -3553.189453125, -2613.008056640625, 570.6399536132812, -18744.013671875, -2506.9267578125, -567.555419921875, -55249.078125, , 1714826858119.228
